spcode,sciname,status,listyear
A009,Antilocapra americana sonoriensis,Endangered,1967
A0A8,Arctocephalus townsendi,Threatened,1967
A00F,Canis rufus,Endangered,1967
A004,Mustela nigripes,Endangered,1967
A000,Myotis sodalis,Endangered,1967
A003,Odocoileus virginianus clavium,Endangered,1967
A002,Odocoileus virginianus leucurus,Endangered,1967
A008,Puma (=Felis) concolor coryi,Endangered,1967
A00B,Sciurus niger cinereus,Recovery,1967
A007,Trichechus manatus,Endangered,1967
A006,Vulpes macrotis mutica,Endangered,1967
B00G,Acrocephalus familiaris kingi,Endangered,1967
B00L,Amazona vittata,Endangered,1967
B00Q,Ammodramus maritimus mirabilis,Endangered,1967
B00R,Ammodramus maritimus nigrescens,Extinction,1967
B007,Anas diazi,Original Data in Error - Taxonomic Revision,1967
B006,Anas laysanensis,Endangered,1967
B005,Anas wyvilliana,Endangered,1967
B069,Anser albifrons elgasi,Resolved Taxon,1967
B00B,Branta canadensis leucopareia,Recovery,1967
B00C,Branta (=Nesochen) sandvicensis,Endangered,1967
B00D,Buteo solitarius,Endangered,1967
B03Q,Campephilus principalis,Endangered,1967
B00Z,Colinus virginianus ridgwayi,Endangered,1967
B004,Corvus hawaiiensis,Endangered,1967
B00H,Gallinula chloropus sandvicensis,Endangered,1967
B003,Grus americana,Endangered,1967
B002,Gymnogyps californianus,Endangered,1967
B008,Haliaeetus leucocephalus,Recovery,1967
B048,Hemignathus lucidus,Endangered,1967
B001,Hemignathus munroi,Endangered,1967
B000,Hemignathus procerus,Endangered,1967
B00K,Loxioides bailleui,Endangered,1967
B00I,Moho braccatus,Endangered,1967
B00S,Myadestes palmeri,Endangered,1967
B01A,Numenius borealis,Endangered,1967
B00E,Palmeria dolei,Endangered,1967
B00M,Pseudonestor xanthophrys,Endangered,1967
B00J,Psittirostra psittacea,Endangered,1967
B00N,Pterodroma sandwichensis,Endangered,1967
B00P,Rallus longirostris yumanensis,Endangered,1967
B00F,Rostrhamus sociabilis plumbeus,Endangered,1967
B03I,Setophaga kirtlandii (= Dendroica kirtlandii),Endangered,1967
B009,Telespyza cantans,Endangered,1967
B00A,Telespyza ultima,Endangered,1967
B00O,Tympanuchus cupido attwateri,Endangered,1967
B03G,Vermivora bachmanii,Endangered,1967
C001,Gambelia silus,Endangered,1967
C002,Thamnophis sirtalis tetrataenia,Endangered,1967
D000,Ambystoma macrodactylum croceum,Endangered,1967
D001,Typhlomolge rathbuni,Endangered,1967
E00B,Acipenser brevirostrum,Endangered,1967
E001,Chasmistes cujus,Endangered,1967
E037,Coregonus alpenae,Extinction,1967
E009,Cyprinodon diabolis,Endangered,1967
E008,Cyprinodon elegans,Endangered,1967
E00A,Cyprinodon radiosus,Endangered,1967
E007,Empetrichthys latos,Endangered,1967
E03C,Eremichthys acros,Threatened,1967
E003,Etheostoma sellare,Endangered,1967
E004,Gambusia gaigei,Endangered,1967
E005,Gambusia heterochir,Endangered,1967
E000,Gila cypha,Endangered,1967
E04M,Lepidomeda vittata,Threatened,1967
E002,Moapa coriacea,Endangered,1967
E00D,Oncorhynchus apache,Threatened,1967
E00G,Oncorhynchus clarkii seleniris,Threatened,1967
E00F,Oncorhynchus clarki stomias,Threatened,1967
E00E,Oncorhynchus gilae,Threatened,1967
E00C,Poeciliopsis occidentalis,Endangered,1967
E006,Ptychocheilus lucius,Endangered,1967
E041,Stizostedion vitreum glaucum,Extinction,1967
A002,Odocoileus virginianus leucurus,Threatened,1967
A002,Odocoileus virginianus leucurus,Recovery,1967
A007,Trichechus manatus,Threatened,1967
B000,Akialoa stejnegeri,Endangered,1967
B00H,Gallinula galeata sandvicensis,Endangered,1967
B048,Hemignathus hanapepe,Endangered,1967
B001,Hemignathus wilsoni,Endangered,1967
C000,Alligator mississippiensis,Similarity of Appearance to a Threatened Taxon,1967
E00F,Oncorhynchus clarkii stomias,Threatened,1967
A02N,Balaena mysticetus,Endangered,1970
A02S,Balaenoptera borealis,Endangered,1970
A02M,Balaenoptera musculus,Endangered,1970
A02O,Balaenoptera physalus,Endangered,1970
A00R,Bison bison athabascae,Threatened,1970
A03X,Dipodomys heermanni morroensis,Endangered,1970
A02P,Eschrichtius robustus,Endangered,1970
A0K7,Eubalaena australis,Endangered,1970
A02R,Eubalaena glacialis,Endangered,1970
A0K6,Eubalaena japonica,Endangered,1970
A03W,Lasiurus cinereus semotus,Endangered,1970
A02Q,Megaptera novaeangliae,Endangered,1970
A028,Monachus monachus,Endangered,1970
A02T,Physeter catodon (=macrocephalus),Endangered,1970
A03Y,Reithrodontomys raviventris,Endangered,1970
B043,Acrocephalus luscinia,Endangered,1970
B049,Columba inornata wetmorei,Endangered,1970
B01H,Falco peregrinus anatum,Recovery,1970
B047,Falco peregrinus tundrius,Recovery,1970
B04G,Fulica americana alai,Endangered,1970
B04C,Himantopus mexicanus knudseni,Endangered,1970
B044,Loxops coccineus coccineus,Endangered,1970
B045,Loxops coccineus ochraceus,Endangered,1970
B00T,Megapodius laperouse,Endangered,1970
B00V,Monarcha takatsukasae,Recovery,1970
B04E,Myadestes lanaiensis rutha,Endangered,1970
B04D,Myadestes myadestinus,Endangered,1970
B04H,Paroreomyza flammea,Endangered,1970
B046,Paroreomyza maculata,Endangered,1970
B02L,Pelecanus occidentalis,Recovery,1970
B00Y,Phoebastria (=Diomedea) albatrus,Endangered,1970
B04F,Picoides borealis,Endangered,1970
B015,Pterodroma cahow,Endangered,1970
B04B,Rallus longirostris levipes,Endangered,1970
B04A,Rallus longirostris obsoletus,Endangered,1970
B00W,Rhynchopsitta pachyrhyncha,Endangered,1970
B03X,Sterna antillarum browni,Endangered,1970
C00F,Dermochelys coriacea,Endangered,1970
C00P,Epicrates inornatus,Endangered,1970
C02E,Epicrates monensis granti,Endangered,1970
C00E,Eretmochelys imbricata,Endangered,1970
C00O,Lepidochelys kempii,Endangered,1970
D004,Bufo houstonensis,Endangered,1970
E047,Cyprinodon nevadensis calidae,Extinction,1970
E00W,Cyprinodon nevadensis pectoralis,Endangered,1970
E00T,Etheostoma fonticola,Endangered,1970
E00U,Etheostoma nuchale,Endangered,1970
E00V,Gambusia nobilis,Endangered,1970
E00X,Gasterosteus aculeatus williamsoni,Endangered,1970
E00Q,Gila bicolor ssp. mohavensis,Endangered,1970
E00R,Gila robusta jordani,Endangered,1970
E00Y,Oncorhynchus clarkii henshawi,Threatened,1970
E00Z,Plagopterus argentissimus,Endangered,1970
E00S,Rhinichthys osculus thermalis,Endangered,1970
A02Q,Megaptera novaeangliae,Resolved Taxon,1970
A02Q,Megaptera novaeangliae,Recovery,1970
A02Q,Megaptera novaeangliae,Threatened,1970
B0OC,Hemignathus affinis,Endangered,1970
B044,Loxops coccineus,Endangered,1970
B045,Loxops ochraceus,Endangered,1970
A084,Leopardus (=Felis) pardalis,Endangered,1972
A042,Leopardus (=Felis) wiedii,Endangered,1972
A040,Panthera onca,Endangered,1972
A04A,Cynomys parvidens,Threatened,1973
A046,Puma (=Felis) concolor couguar,Endangered,1973
B04J,Caprimulgus noctitherus,Endangered,1973
B04I,Grus canadensis pulla,Endangered,1973
B089,Melospiza melodia graminea,Extinction,1973
D005,Batrachoseps aridus,Endangered,1973
E00H,Etheostoma okaloosae,Threatened,1973
A046,Puma (=Felis) concolor couguar,Extinction,1973
A001,Ursus arctos horribilis,Threatened,1975
A001,Ursus arctos horribilis,Resolved Taxon,1975
A001,Ursus arctos horribilis,Under Review in the Candidate or Petition Process,1975
B04N,Melamprosops phaeosoma,Endangered,1975
B04M,Oreomystis mana,Endangered,1975
B04O,Puffinus auricularis newelli,Threatened,1975
C02J,Crocodylus acutus,Threatened,1975
E01S,Etheostoma rubrum,Threatened,1975
E01T,Noturus trautmani,Endangered,1975
E010,Percina tanasi,Threatened,1975
A001,Ursus arctos horribilis,Recovery,1975
A00E,Canis lupus baileyi,Endangered,1976
A05H,Herpailurus (=Felis) yagouaroundi cacomitli,Endangered,1976
A05K,Herpailurus (=Felis) yagouaroundi tolteca,Endangered,1976
A071,Monachus schauinslandi,Endangered,1976
A04J,Myotis grisescens,Endangered,1976
B05T,Agelaius xanthomus,Endangered,1976
F00K,Dromus dromas,Endangered,1976
F00J,Epioblasma florentina curtisii,Endangered,1976
F005,Epioblasma florentina florentina,Endangered,1976
F007,Epioblasma obliquata perobliqua,Endangered,1976
F00N,Epioblasma sampsoni,Extinction,1976
F002,Epioblasma torulosa gubernaculum,Endangered,1976
F003,Epioblasma torulosa torulosa,Endangered,1976
F004,Epioblasma turgidula,Endangered,1976
F00Q,Fusconaia cor,Endangered,1976
F00O,Fusconaia cuneolus,Endangered,1976
F00G,Lampsilis abrupta,Endangered,1976
F009,Lampsilis higginsii,Endangered,1976
F00A,Lampsilis virescens,Endangered,1976
F00I,Lemiox rimosus,Endangered,1976
F00M,Plethobasus cicatricosus,Endangered,1976
F00R,Plethobasus cooperianus,Endangered,1976
F00P,Pleurobema plenum,Endangered,1976
F00T,Potamilus capax,Endangered,1976
F00E,Quadrula intermedia,Endangered,1976
F00D,Quadrula sparsa,Endangered,1976
F00B,Toxolasma cylindrellus,Endangered,1976
F000,Villosa trabalis,Endangered,1976
I00H,Apodemia mormo langei,Endangered,1976
I00Q,Callophrys mossii bayensis,Endangered,1976
I00C,Euphilotes battoides allyni,Endangered,1976
I00R,Euphilotes enoptes smithi,Endangered,1976
I015,Heraclides andraemon bonhotei,Original Data in Error - Act Amendment,1976
I016,Heraclides aristodemus ponceanus,Endangered,1976
I00J,Icaricia icarioides missionensis,Endangered,1976
I00I,Lycaeides argyrognomon lotis,Endangered,1976
A0A7,Enhydra lutris nereis,Threatened,1977
B05S,Amphispiza belli clementeae,Threatened,1977
B059,Anas oustaleti,Extinction,1977
B05R,Lanius ludovicianus mearnsi,Endangered,1977
C01P,Ameiva polops,Endangered,1977
C01O,Anolis roosevelti,Endangered,1977
C01T,Nerodia clarkii taeniata,Threatened,1977
C01M,Xantusia riversiana,Recovery,1977
D00D,Eleutherodactylus jasperi,Threatened,1977
D00N,Hyla andersonii,Original Data in Error - Erroneous Data,1977
D00C,Phaeognathus hubrichti,Threatened,1977
E012,Erimonax monachus,Threatened,1977
E01X,Erimystax cahni,Threatened,1977
E01B,Etheostoma boschungi,Threatened,1977
E01Y,Noturus flavipinnis,Threatened,1977
E011,Speoplatyrhinus poulsoni,Endangered,1977
F010,Epioblasma florentina walkeri (=E. walkeri),Endangered,1977
Q1YO,Acmispon dendroideus var. traskiae (=Lotus d. ssp. traskiae),Threatened,1977
Q1U2,Castilleja grisea,Threatened,1977
Q1VC,Delphinium variegatum ssp. kinkiense,Endangered,1977
Q1YR,Malacothamnus clementinus,Endangered,1977
A00D,Canis lupus,Endangered,1978
A00D,Canis lupus,Resolved Taxon,1978
A00D,Canis lupus,Recovery,1978
A00D,Canis lupus,"Experimental Population, Non-Essential",1978
C00U,Caretta caretta,Resolved Taxon,1978
C00U,Caretta caretta,Threatened,1978
C00U,Caretta caretta,Endangered,1978
C00S,Chelonia mydas,Resolved Taxon,1978
C01S,Crotalus willardi obscurus,Threatened,1978
C01R,Cyclura stejnegeri,Threatened,1978
C026,Drymarchon corais couperi,Threatened,1978
C01Q,Epicrates monensis monensis,Threatened,1978
C00V,Lepidochelys olivacea,Threatened,1978
E01Z,Oncorhynchus aguabonita whitei,Threatened,1978
E017,Percina pantherina,Threatened,1978
G00W,Anguispira picta,Threatened,1978
G00T,Discus macclintocki,Endangered,1978
G00Y,Orthalicus reses (not incl. nesodryas),Threatened,1978
G00V,Patera clarki nantahala,Threatened,1978
G00Z,Polygyriscus virginianus,Endangered,1978
G00P,Succinea chittenangoensis,Threatened,1978
G00S,Triodopsis platysayoides,Threatened,1978
K01Y,Thermosphaeroma thermophilus,Endangered,1978
Q1SN,Aconitum noveboracense,Threatened,1978
Q1SX,Arabis macdonaldiana,Endangered,1978
Q070,Astragalus perianus,Original Data in Error - Erroneous Data,1978
Q1TD,Baptisia arachnifera,Endangered,1978
Q1TG,Betula uber,Threatened,1978
Q1US,Cordylanthus maritimus ssp. maritimus,Endangered,1978
Q1VT,Dudleya traskiae,Endangered,1978
Q1WA,Erysimum capitatum var. angustatum,Endangered,1978
Q1ZM,Oenothera avita ssp. eurekensis,Endangered,1978
Q1ZN,Oenothera deltoides ssp. howellii,Endangered,1978
Q1ZW,Pedicularis furbishiae,Endangered,1978
Q203,Phacelia argillacea,Endangered,1978
Q20P,Pogogyne abramsii,Endangered,1978
